Order ID,Order Date,Customer ID,Customer Name,Region,State,Category,Sub-Category,Sales,Profit,Quantity,Discount,Payment Method
100023,2024-11-17,CUST3579,Customer 233,North,Maharashtra,Electronics,Laptop,3329.68,595.12,9,0.2,UPI
100024,2025-11-22,CUST5033,Customer 2372,North,Delhi,Office Supplies,Notebook,43160.05,3878.77,10,0.15,UPI
100025,2024-09-24,CUST3144,Customer 2752,East,Kerala,Furniture,Sofa,10610.83,1373.52,7,0.1,Cash
100026,2025-04-14,CUST9808,Customer 874,East,Maharashtra,Electronics,Laptop,31247.38,9966.23,2,0.2,Cash
100027,2025-01-13,CUST9666,Customer 33,East,Gujarat,Electronics,Mobile,14606.88,4128.07,5,0.15,UPI
100028,2024-04-28,CUST4450,Customer 2940,East,Maharashtra,Electronics,Monitor,44540.78,4096.46,5,0.2,Cash
100029,2024-09-14,CUST5533,Customer 181,North,Tamil Nadu,Office Supplies,Folder,45314.16,4754.39,7,0.0,Card
100030,2024-06-14,CUST1158,Customer 459,North,Gujarat,Office Supplies,Paper,37190.93,8945.54,9,0.2,Card
100031,2025-01-13,CUST6050,Customer 1494,North,Tamil Nadu,Office Supplies,Notebook,29334.22,5530.74,1,0.05,Card
100032,2025-11-13,CUST3532,Customer 970,South,Maharashtra,Office Supplies,Pen,5588.28,1613.43,7,0.2,Net Banking
100033,2024-12-06,CUST5371,Customer 653,North,Kerala,Electronics,Mobile,39228.13,10752.57,4,0.15,UPI
100034,2024-07-23,CUST4652,Customer 97,South,Kerala,Furniture,Table,40921.04,6216.22,4,0.15,Cash
100035,2024-10-12,CUST6425,Customer 114,North,Tamil Nadu,Furniture,Chair,17881.73,2823.76,9,0.2,Card
100036,2024-02-09,CUST8149,Customer 2484,North,Kerala,Office Supplies,Paper,5865.93,884.79,6,0.15,Card
100037,2025-12-26,CUST4228,Customer 1492,West,Karnataka,Furniture,Chair,22084.85,6623.36,9,0.2,Cash
100038,2025-11-10,CUST6344,Customer 1649,East,Delhi,Office Supplies,Paper,42476.76,8577.04,7,0.1,Card
100039,2025-11-11,CUST7653,Customer 2245,North,Tamil Nadu,Electronics,Printer,47048.0,11229.84,5,0.05,Cash
100040,2025-08-16,CUST4501,Customer 2094,West,Gujarat,Electronics,Printer,30529.75,5817.35,8,0.1,Card
100041,2024-10-17,CUST6085,Customer 921,South,Maharashtra,Office Supplies,Notebook,26014.87,3655.11,4,0.2,UPI
100042,2025-05-01,CUST4185,Customer 2943,West,Kerala,Electronics,Mobile,30758.06,6242.73,10,0.0,Net Banking
100043,2025-11-02,CUST3881,Customer 2851,West,Karnataka,Electronics,Mobile,34537.31,10021.81,4,0.0,Card
100044,2024-05-16,CUST6198,Customer 1813,West,Delhi,Electronics,Printer,40170.12,12723.12,10,0.2,Net Banking
100045,2025-04-05,CUST9540,Customer 1985,South,Tamil Nadu,Electronics,Printer,13329.98,3989.17,5,0.05,Net Banking
100046,2024-08-28,CUST3267,Customer 618,South,Kerala,Electronics,Monitor,13949.9,4270.3,2,0.1,Card
100047,2024-03-06,CUST2020,Customer 848,West,Kerala,Office Supplies,Pen,21035.96,4449.21,7,0.1,UPI
100048,2025-05-03,CUST7865,Customer 2205,South,Kerala,Office Supplies,Folder,791.86,115.31,7,0.1,Card
100049,2025-05-12,CUST3704,Customer 1915,South,Delhi,Furniture,Desk,1936.73,475.65,7,0.1,UPI
100050,2024-03-26,CUST1823,Customer 1066,West,Tamil Nadu,Furniture,Chair,32316.11,9906.5,3,0.05,Card
100051,2024-12-11,CUST5133,Customer 336,West,Karnataka,Furniture,Sofa,38180.87,5063.9,7,0.15,UPI
100052,2025-10-27,CUST4266,Customer 84,South,Maharashtra,Furniture,Table,3896.61,1105.25,4,0.0,Card
100053,2025-07-31,CUST3749,Customer 2482,North,Maharashtra,Furniture,Chair,47413.97,11680.69,6,0.15,Cash
100054,2024-11-15,CUST2245,Customer 2426,South,Karnataka,Electronics,Laptop,29001.94,4773.62,4,0.15,Cash
100055,2025-08-02,CUST2129,Customer 2073,East,Karnataka,Office Supplies,Notebook,39240.45,8195.02,6,0.1,Net Banking
100056,2025-03-19,CUST3885,Customer 2138,East,Delhi,Furniture,Chair,48058.98,11941.37,7,0.15,Net Banking
100057,2025-08-29,CUST5569,Customer 1847,South,Kerala,Furniture,Desk,13785.58,4091.52,2,0.05,Net Banking
100058,2025-05-21,CUST5232,Customer 1395,East,Delhi,Furniture,Chair,42622.17,8700.83,6,0.05,Cash
100059,2025-06-13,CUST9004,Customer 2275,South,Gujarat,Office Supplies,Notebook,47429.1,6885.1,7,0.0,Net Banking
100060,2025-04-03,CUST4986,Customer 1255,East,Kerala,Office Supplies,Folder,39750.18,6337.91,7,0.0,Cash
100061,2024-12-26,CUST2976,Customer 2955,South,Tamil Nadu,Furniture,Sofa,35291.32,5215.64,4,0.1,UPI
100062,2024-07-15,CUST9595,Customer 2445,East,Karnataka,Office Supplies,Pen,11211.04,1481.59,10,0.15,Card
100063,2025-01-04,CUST5494,Customer 187,North,Delhi,Furniture,Table,9382.36,2544.17,3,0.0,Cash
100064,2025-10-15,CUST5658,Customer 1923,West,Kerala,Office Supplies,Pen,43488.83,3705.19,1,0.15,Cash
100065,2024-09-15,CUST7565,Customer 2015,North,Delhi,Electronics,Laptop,47082.65,4157.56,2,0.15,UPI
100066,2025-07-30,CUST7818,Customer 2484,South,Delhi,Electronics,Mobile,47481.72,16540.63,2,0.0,Net Banking
100067,2024-10-31,CUST1986,Customer 2498,North,Maharashtra,Furniture,Desk,43078.25,6028.92,10,0.15,Card
100068,2024-06-09,CUST7693,Customer 1846,West,Tamil Nadu,Furniture,Chair,12373.33,869.44,1,0.2,UPI
100069,2025-12-24,CUST5334,Customer 2561,South,Kerala,Electronics,Monitor,14494.56,1112.0,4,0.15,UPI
100070,2025-10-25,CUST1977,Customer 680,East,Delhi,Office Supplies,Pen,7874.98,2269.49,2,0.1,Cash
100071,2025-04-24,CUST9847,Customer 2023,West,Karnataka,Furniture,Chair,34589.56,10792.72,9,0.15,UPI
100072,2025-09-10,CUST1339,Customer 2754,East,Delhi,Furniture,Sofa,12893.21,1828.38,10,0.0,UPI
100073,2025-06-15,CUST8141,Customer 2601,West,Karnataka,Electronics,Printer,32749.72,3733.54,10,0.1,Net Banking
100074,2024-12-07,CUST7744,Customer 2842,West,Tamil Nadu,Furniture,Desk,16392.38,5107.67,6,0.0,Net Banking
100075,2025-04-10,CUST9431,Customer 5,West,Kerala,Office Supplies,Notebook,4858.96,739.94,7,0.1,UPI
100076,2025-09-29,CUST5375,Customer 2250,South,Tamil Nadu,Electronics,Monitor,37943.94,9967.78,4,0.15,Net Banking
100077,2024-05-04,CUST6091,Customer 2257,North,Delhi,Office Supplies,Folder,1929.04,512.77,3,0.2,Net Banking
100078,2024-04-26,CUST9165,Customer 2936,East,Delhi,Electronics,Mobile,23341.67,5949.36,3,0.0,Cash
100079,2025-04-28,CUST9327,Customer 560,North,Tamil Nadu,Furniture,Desk,12564.68,1118.93,4,0.2,Net Banking
100080,2024-01-03,CUST9022,Customer 609,West,Delhi,Furniture,Sofa,14500.53,4221.37,10,0.1,Net Banking
100081,2025-07-19,CUST4090,Customer 2857,South,Delhi,Furniture,Sofa,38262.2,6904.15,6,0.15,Net Banking
100082,2024-02-14,CUST7325,Customer 2719,South,Kerala,Electronics,Printer,16249.73,4028.5,7,0.15,UPI
100083,2024-04-12,CUST1251,Customer 2960,South,Kerala,Electronics,Monitor,43772.42,3695.36,8,0.15,Card
100084,2024-09-28,CUST9742,Customer 1557,East,Gujarat,Electronics,Printer,17258.78,4020.53,6,0.15,Net Banking
100085,2025-09-24,CUST8110,Customer 404,North,Kerala,Office Supplies,Notebook,3886.83,1299.39,2,0.1,Card
100086,2024-01-30,CUST8056,Customer 597,South,Delhi,Office Supplies,Paper,2776.55,442.05,6,0.0,Net Banking
100087,2024-06-23,CUST4945,Customer 2039,South,Maharashtra,Office Supplies,Pen,9165.93,2613.45,10,0.2,Net Banking
100088,2025-04-15,CUST5712,Customer 2776,South,Karnataka,Office Supplies,Paper,13138.67,4239.92,8,0.0,Net Banking
100089,2025-10-16,CUST4263,Customer 1576,West,Karnataka,Furniture,Sofa,48120.44,9063.28,5,0.1,Card
100090,2025-08-11,CUST5497,Customer 34,North,Delhi,Furniture,Sofa,15145.68,1074.19,7,0.1,Net Banking
100091,2025-09-13,CUST5106,Customer 2777,South,Gujarat,Furniture,Table,40195.63,9823.28,10,0.05,UPI
100092,2024-11-12,CUST2476,Customer 1209,East,Gujarat,Office Supplies,Notebook,39536.22,9349.72,3,0.0,Net Banking
100093,2024-05-15,CUST3695,Customer 1053,West,Tamil Nadu,Electronics,Mobile,39432.38,8214.95,5,0.1,Cash
100094,2024-03-18,CUST6992,Customer 370,West,Karnataka,Electronics,Printer,7467.47,2275.62,7,0.05,Cash
100095,2025-04-10,CUST2775,Customer 2765,South,Kerala,Office Supplies,Notebook,18744.99,4176.97,6,0.1,UPI
100096,2025-09-16,CUST5951,Customer 2660,West,Karnataka,Office Supplies,Paper,11457.68,2882.28,8,0.0,Card
100097,2024-11-07,CUST3222,Customer 1592,West,Tamil Nadu,Electronics,Laptop,49798.41,5290.67,9,0.0,Net Banking
100098,2025-02-28,CUST1536,Customer 2828,East,Maharashtra,Office Supplies,Pen,32918.63,7364.76,5,0.15,Net Banking
100099,2025-01-06,CUST1992,Customer 1631,East,Maharashtra,Furniture,Table,5418.05,1148.66,6,0.1,UPI
100100,2025-11-09,CUST6464,Customer 998,South,Delhi,Furniture,Chair,10999.24,3433.91,1,0.2,Card
100101,2025-08-23,CUST1046,Customer 1136,South,Maharashtra,Electronics,Mobile,11189.59,1803.89,3,0.05,Cash
100102,2025-11-07,CUST6304,Customer 65,South,Tamil Nadu,Electronics,Laptop,43389.17,3319.8,4,0.05,UPI
100103,2025-06-22,CUST9408,Customer 2432,North,Kerala,Electronics,Printer,6125.64,1277.73,6,0.0,Card
100104,2025-11-05,CUST1996,Customer 1962,West,Kerala,Office Supplies,Notebook,26311.84,6083.35,1,0.15,UPI
100105,2024-03-16,CUST3067,Customer 1127,East,Kerala,Furniture,Desk,45013.7,10318.95,2,0.1,Cash
100106,2024-04-11,CUST4522,Customer 1762,West,Maharashtra,Furniture,Desk,39758.26,12335.16,9,0.0,Net Banking
100107,2025-02-12,CUST5176,Customer 1534,South,Gujarat,Furniture,Desk,21091.49,3467.19,6,0.0,Net Banking
100108,2024-03-28,CUST3131,Customer 2279,North,Delhi,Electronics,Laptop,5114.89,1437.48,6,0.0,Cash
100109,2025-02-24,CUST5712,Customer 2460,East,Tamil Nadu,Office Supplies,Notebook,18003.1,5254.83,1,0.15,UPI
100110,2024-06-07,CUST7022,Customer 471,East,Delhi,Office Supplies,Pen,33008.45,9944.26,6,0.05,Card
100111,2025-09-15,CUST6062,Customer 1392,East,Karnataka,Furniture,Chair,46489.67,3385.25,5,0.1,Card
100112,2024-03-12,CUST4524,Customer 1541,West,Kerala,Electronics,Printer,7522.8,788.2,9,0.0,Cash
100113,2024-11-15,CUST3549,Customer 645,North,Gujarat,Electronics,Monitor,36219.0,7641.5,1,0.2,UPI
100114,2025-11-08,CUST4531,Customer 2099,North,Tamil Nadu,Furniture,Desk,21488.73,3639.16,5,0.2,Net Banking
100115,2025-11-25,CUST1744,Customer 904,West,Delhi,Electronics,Monitor,34085.07,6809.25,5,0.15,UPI
100116,2024-11-04,CUST6375,Customer 492,North,Kerala,Electronics,Mobile,47293.54,13186.55,5,0.05,Net Banking
100117,2025-01-24,CUST2180,Customer 1627,North,Kerala,Electronics,Mobile,26862.83,5575.94,6,0.05,UPI
100118,2024-11-16,CUST5743,Customer 472,West,Karnataka,Furniture,Chair,29000.08,4616.64,7,0.2,Cash
100119,2025-12-07,CUST4986,Customer 1785,West,Delhi,Electronics,Printer,46028.6,9109.62,2,0.0,UPI
100120,2024-12-13,CUST9693,Customer 2089,South,Tamil Nadu,Furniture,Sofa,11467.82,1067.91,2,0.05,Cash
100121,2024-08-29,CUST3504,Customer 2685,North,Maharashtra,Office Supplies,Pen,5588.82,660.95,10,0.1,Net Banking
100122,2025-11-28,CUST6295,Customer 2570,East,Maharashtra,Furniture,Desk,46245.64,10340.89,10,0.2,Net Banking
100123,2025-03-28,CUST9312,Customer 304,East,Kerala,Electronics,Printer,31753.56,7134.5,6,0.1,Net Banking
100124,2025-01-12,CUST9307,Customer 1575,West,Delhi,Electronics,Laptop,41668.98,10586.42,2,0.0,UPI
100125,2024-11-25,CUST8381,Customer 424,East,Gujarat,Furniture,Table,30447.79,2762.6,1,0.2,UPI
100126,2024-02-10,CUST9564,Customer 2498,South,Tamil Nadu,Office Supplies,Pen,12763.31,4148.92,9,0.15,Cash
100127,2025-02-22,CUST2079,Customer 1351,North,Delhi,Furniture,Desk,38836.01,2490.89,6,0.2,Net Banking
100128,2025-11-03,CUST2335,Customer 2387,South,Tamil Nadu,Furniture,Sofa,48238.3,13785.81,6,0.2,Cash
100129,2024-05-12,CUST6381,Customer 524,North,Gujarat,Office Supplies,Folder,29954.54,4900.18,7,0.0,Net Banking
100130,2024-01-19,CUST8967,Customer 787,South,Maharashtra,Office Supplies,Paper,18448.58,6075.41,6,0.05,Card
100131,2024-04-13,CUST1618,Customer 2712,East,Delhi,Electronics,Monitor,25630.64,7060.79,9,0.2,Card
100132,2024-06-06,CUST8170,Customer 179,West,Tamil Nadu,Office Supplies,Folder,8531.24,2290.14,3,0.2,Card
100133,2025-04-04,CUST4178,Customer 1507,West,Kerala,Furniture,Sofa,12083.15,1885.65,8,0.05,Cash
100134,2024-06-14,CUST1854,Customer 2627,West,Tamil Nadu,Furniture,Desk,40936.12,3576.49,5,0.2,UPI
100135,2024-10-18,CUST3414,Customer 1792,North,Maharashtra,Office Supplies,Notebook,4651.82,679.88,9,0.05,Net Banking
100136,2025-02-28,CUST2337,Customer 1536,South,Karnataka,Furniture,Chair,3136.22,473.47,7,0.2,Cash
100137,2024-05-29,CUST3273,Customer 2890,West,Kerala,Electronics,Monitor,7311.18,2286.18,8,0.1,UPI
100138,2024-09-19,CUST9647,Customer 1734,North,Tamil Nadu,Electronics,Laptop,11174.91,2466.05,10,0.05,Card
100139,2024-02-18,CUST9189,Customer 2445,North,Gujarat,Furniture,Chair,12302.76,2133.55,2,0.2,Card
100140,2024-10-25,CUST7825,Customer 768,North,Delhi,Office Supplies,Pen,21747.33,3159.02,10,0.2,Cash
100141,2025-02-03,CUST5155,Customer 67,East,Karnataka,Electronics,Laptop,43729.91,11003.81,6,0.0,Cash
100142,2025-08-18,CUST9945,Customer 1387,South,Gujarat,Electronics,Laptop,36891.76,3726.83,6,0.1,Net Banking
100143,2025-10-08,CUST1605,Customer 1202,South,Karnataka,Office Supplies,Folder,9522.76,852.64,8,0.05,Card
100144,2024-11-13,CUST4131,Customer 1172,East,Karnataka,Electronics,Monitor,26011.49,4625.31,1,0.2,Cash
100145,2025-01-11,CUST6554,Customer 766,West,Gujarat,Furniture,Chair,22129.09,5713.58,7,0.15,Net Banking
100146,2024-03-25,CUST9937,Customer 1204,East,Karnataka,Furniture,Sofa,36490.53,7161.77,3,0.0,UPI
100147,2024-11-09,CUST6759,Customer 1832,North,Gujarat,Furniture,Sofa,22572.83,2313.58,8,0.15,Cash
100148,2024-10-08,CUST6952,Customer 2102,South,Karnataka,Office Supplies,Folder,32153.73,3223.77,7,0.0,Card
100149,2024-02-05,CUST6933,Customer 1569,North,Delhi,Office Supplies,Folder,6748.39,1907.76,6,0.05,Card
100150,2025-01-14,CUST7012,Customer 1631,East,Gujarat,Office Supplies,Folder,18914.66,4444.17,9,0.0,Cash
100151,2024-01-27,CUST2929,Customer 1073,East,Gujarat,Electronics,Laptop,36915.91,7283.19,9,0.15,Net Banking
100152,2025-12-11,CUST2213,Customer 1852,South,Gujarat,Electronics,Monitor,45865.71,5116.24,3,0.15,Net Banking
100153,2025-11-14,CUST5914,Customer 646,South,Tamil Nadu,Electronics,Monitor,17697.55,4043.88,5,0.0,Card
100154,2024-05-22,CUST7044,Customer 1915,South,Delhi,Electronics,Mobile,12218.44,789.27,9,0.15,UPI
100155,2025-02-11,CUST2208,Customer 514,East,Gujarat,Electronics,Monitor,49979.95,9967.89,7,0.15,UPI
100156,2025-11-27,CUST3981,Customer 529,West,Delhi,Furniture,Desk,26109.32,8082.12,9,0.05,UPI
100157,2024-11-07,CUST6669,Customer 2126,East,Karnataka,Electronics,Mobile,8650.53,2745.5,4,0.1,Cash
100158,2024-05-08,CUST3762,Customer 2425,South,Maharashtra,Electronics,Monitor,31438.61,6100.32,9,0.2,Cash
100159,2024-01-30,CUST7825,Customer 2532,North,Kerala,Office Supplies,Notebook,4520.53,549.05,4,0.2,Cash
100160,2025-05-09,CUST1981,Customer 648,West,Kerala,Office Supplies,Paper,12621.46,1739.33,2,0.15,Net Banking
100161,2024-12-14,CUST6658,Customer 1634,South,Tamil Nadu,Furniture,Table,30529.68,9085.66,6,0.1,UPI
100162,2025-04-22,CUST1829,Customer 1189,West,Delhi,Furniture,Table,6564.83,816.91,2,0.15,Net Banking
100163,2024-12-01,CUST9163,Customer 2109,West,Kerala,Electronics,Mobile,46720.7,5431.52,3,0.1,Cash
100164,2024-04-02,CUST4524,Customer 2390,East,Karnataka,Furniture,Chair,47289.02,8202.39,4,0.2,UPI
100165,2025-09-03,CUST2761,Customer 1766,South,Tamil Nadu,Furniture,Desk,44175.8,5948.36,1,0.15,Cash
100166,2024-02-16,CUST5728,Customer 302,West,Delhi,Furniture,Sofa,20328.79,4100.12,6,0.2,Net Banking
100167,2025-09-30,CUST7453,Customer 1529,East,Delhi,Office Supplies,Paper,34179.73,3921.75,2,0.0,Cash
100168,2025-09-08,CUST3245,Customer 2923,East,Kerala,Electronics,Mobile,25701.56,1564.42,1,0.2,Net Banking
100169,2024-12-01,CUST5902,Customer 2432,East,Delhi,Electronics,Mobile,46602.75,5073.9,10,0.1,Net Banking
100170,2025-05-01,CUST7824,Customer 2391,East,Gujarat,Office Supplies,Paper,40879.57,6313.22,2,0.1,UPI
100171,2024-09-28,CUST8871,Customer 699,West,Maharashtra,Office Supplies,Folder,48370.0,9962.35,1,0.2,Card
100172,2024-07-14,CUST4340,Customer 1681,West,Gujarat,Electronics,Laptop,1437.4,255.96,7,0.1,UPI
100173,2025-06-15,CUST9609,Customer 1544,East,Maharashtra,Office Supplies,Pen,10763.41,3600.29,8,0.1,Net Banking
100174,2025-07-13,CUST5038,Customer 1143,East,Maharashtra,Office Supplies,Paper,18037.21,4143.52,4,0.1,Cash
100175,2025-12-07,CUST5480,Customer 1179,North,Delhi,Furniture,Table,35396.92,6886.36,9,0.1,Net Banking
100176,2024-05-29,CUST6674,Customer 1812,East,Gujarat,Furniture,Sofa,14877.41,4804.43,2,0.1,Net Banking
100177,2025-07-05,CUST2789,Customer 2522,South,Maharashtra,Electronics,Mobile,13921.07,3312.74,3,0.2,UPI
100178,2025-10-15,CUST2647,Customer 2791,South,Karnataka,Office Supplies,Pen,12025.41,2303.96,8,0.0,Card
100179,2025-05-03,CUST2465,Customer 2672,South,Delhi,Furniture,Desk,32701.67,4961.34,1,0.1,UPI
100180,2024-06-29,CUST9116,Customer 764,East,Karnataka,Electronics,Printer,46729.17,16319.53,7,0.0,UPI
100181,2024-12-09,CUST9261,Customer 1918,East,Maharashtra,Furniture,Chair,14585.8,2794.14,3,0.2,UPI
100182,2025-04-14,CUST5833,Customer 2326,South,Maharashtra,Furniture,Table,32590.12,2486.72,6,0.05,Net Banking
100183,2024-03-29,CUST8822,Customer 1326,South,Karnataka,Furniture,Sofa,20341.25,2642.14,3,0.0,Cash
100184,2025-04-02,CUST1187,Customer 1072,East,Gujarat,Furniture,Table,37810.95,5540.26,10,0.1,Card
100185,2025-04-21,CUST2923,Customer 2617,East,Tamil Nadu,Electronics,Laptop,15686.91,3807.84,5,0.15,Card
100186,2025-05-04,CUST8714,Customer 2202,South,Maharashtra,Electronics,Mobile,8082.69,1219.51,9,0.2,UPI
100187,2025-06-24,CUST2011,Customer 2244,South,Delhi,Office Supplies,Folder,35336.42,11578.19,2,0.0,Card
100188,2025-06-16,CUST2489,Customer 2091,West,Karnataka,Electronics,Monitor,22371.11,5952.23,8,0.05,Net Banking
100189,2025-04-12,CUST1356,Customer 1622,East,Karnataka,Electronics,Printer,28413.6,4967.89,5,0.2,Card
100190,2024-02-16,CUST2130,Customer 1934,North,Tamil Nadu,Office Supplies,Notebook,21473.02,4855.35,1,0.0,Net Banking
100191,2025-10-18,CUST8348,Customer 1547,West,Karnataka,Electronics,Mobile,48927.5,7760.12,7,0.15,Card
100192,2024-05-01,CUST4648,Customer 15,North,Tamil Nadu,Office Supplies,Paper,9334.44,1457.35,3,0.2,Net Banking
100193,2025-06-28,CUST3541,Customer 1130,South,Gujarat,Office Supplies,Folder,19274.19,2685.44,6,0.05,UPI
100194,2025-09-21,CUST2653,Customer 2433,North,Kerala,Electronics,Printer,38419.65,5570.08,2,0.0,UPI
100195,2025-02-15,CUST3295,Customer 2064,East,Maharashtra,Electronics,Laptop,22228.66,2415.43,1,0.2,Cash
100196,2024-08-30,CUST4621,Customer 1694,East,Tamil Nadu,Office Supplies,Paper,15437.34,5227.67,9,0.05,UPI
100197,2025-10-03,CUST7244,Customer 2149,East,Gujarat,Office Supplies,Pen,34098.13,6267.84,6,0.2,Net Banking
100198,2024-11-03,CUST5927,Customer 2899,South,Kerala,Furniture,Table,19134.78,3403.12,4,0.2,UPI
100199,2025-03-02,CUST4331,Customer 1353,North,Kerala,Office Supplies,Folder,28085.69,4981.65,5,0.05,Cash
100200,2024-02-22,CUST4082,Customer 2407,South,Kerala,Electronics,Mobile,13788.85,2934.11,2,0.2,Card
100201,2024-01-16,CUST8846,Customer 994,South,Kerala,Furniture,Sofa,10984.48,3649.71,2,0.05,Card
100202,2024-10-16,CUST5285,Customer 1474,West,Kerala,Office Supplies,Paper,19342.76,4355.11,5,0.2,UPI
100203,2024-11-23,CUST4625,Customer 598,North,Tamil Nadu,Office Supplies,Folder,45759.36,6840.52,1,0.1,Net Banking
100204,2024-07-19,CUST9180,Customer 2256,East,Tamil Nadu,Furniture,Table,16828.33,3556.55,4,0.15,Net Banking
100205,2025-04-16,CUST9000,Customer 754,North,Delhi,Office Supplies,Folder,8827.57,977.23,9,0.1,UPI
100206,2024-01-07,CUST1149,Customer 896,West,Tamil Nadu,Electronics,Laptop,20913.42,1900.01,3,0.05,UPI
100207,2025-11-06,CUST1194,Customer 69,East,Delhi,Office Supplies,Folder,24648.79,5513.87,7,0.0,Cash
100208,2024-07-02,CUST4144,Customer 2539,East,Tamil Nadu,Electronics,Printer,5797.31,1284.59,4,0.0,Cash
100209,2025-01-17,CUST5914,Customer 2802,North,Gujarat,Furniture,Chair,47985.24,10079.33,4,0.15,UPI
100210,2025-01-23,CUST3807,Customer 339,West,Kerala,Electronics,Printer,19169.89,1392.71,1,0.15,Cash
100211,2025-06-24,CUST8790,Customer 1111,North,Karnataka,Office Supplies,Notebook,45998.03,5960.54,10,0.05,Cash
100212,2024-07-02,CUST3362,Customer 2920,West,Karnataka,Office Supplies,Notebook,46473.93,3217.28,4,0.1,Cash
100213,2025-08-03,CUST6435,Customer 1573,South,Gujarat,Electronics,Mobile,41815.2,10048.17,9,0.15,UPI
100214,2024-02-24,CUST7499,Customer 1337,North,Gujarat,Office Supplies,Paper,5335.45,1594.99,6,0.05,Cash
100215,2024-08-21,CUST7227,Customer 352,East,Maharashtra,Furniture,Desk,18112.65,3153.39,10,0.15,UPI
100216,2024-06-06,CUST6909,Customer 437,North,Karnataka,Electronics,Monitor,19310.0,5256.32,6,0.05,Cash
100217,2024-10-03,CUST9395,Customer 1672,North,Karnataka,Furniture,Sofa,5560.45,726.17,8,0.0,UPI
100218,2025-09-03,CUST5781,Customer 1695,West,Karnataka,Furniture,Chair,30103.17,8976.88,1,0.1,Card
100219,2025-12-02,CUST9079,Customer 598,North,Maharashtra,Office Supplies,Pen,19346.24,2807.3,5,0.05,Net Banking
100220,2024-11-02,CUST9123,Customer 2433,South,Kerala,Furniture,Desk,24469.45,4343.42,4,0.0,UPI
100221,2024-01-07,CUST6399,Customer 1804,East,Kerala,Electronics,Monitor,47466.76,13871.48,7,0.1,Card
100222,2025-09-09,CUST7524,Customer 1308,East,Gujarat,Furniture,Sofa,47390.31,9564.91,3,0.05,Net Banking
100223,2024-11-29,CUST4273,Customer 2426,South,Gujarat,Office Supplies,Pen,19114.74,2982.94,10,0.15,UPI
100224,2025-12-26,CUST7703,Customer 2757,West,Maharashtra,Office Supplies,Folder,10877.6,3148.48,2,0.1,Cash
100225,2025-11-05,CUST8357,Customer 2450,West,Delhi,Electronics,Monitor,8130.09,2199.6,2,0.15,Net Banking
100226,2025-07-10,CUST2392,Customer 448,South,Gujarat,Office Supplies,Folder,2319.88,590.27,9,0.1,Cash
